user_id,media_id,like_timestamp
2802586642,mbwtxweaiy,2022-09-18 05:48:42.719731200
416384146,gnfkjoxbdp,2022-09-20 15:46:23.445552000
4008875027,kbuvxdpcim,2022-09-14 00:42:40.345286400
1809724220,eordblkskb,2022-09-04 03:22:25.281696000
1726822204,uvrlglftrt,2022-09-20 02:28:56.568345600
4186486303,ckfyuaoknm,2022-09-28 16:46:08.256547200
515370278,rfhpncauxn,2022-09-30 08:38:43.518019200
317251759,xbvzkmtyjf,2022-09-28 17:49:00.770764800
3048673691,byjmudfjxp,2022-09-16 10:51:01.805817600
2784477814,ezshgqijnk,2022-09-09 15:29:42.586224000
1445650097,qvyclqpace,2022-09-29 17:48:16.846905600
3558111531,julikatypd,2022-09-07 01:06:36.300844800
3381058247,xqbdloatzy,2022-09-18 12:47:34.425225600
3674902257,twbohkcywn,2022-09-01 20:19:05.470435200
3882717480,sfdbvqkcjp,2022-09-19 09:05:47.787648000
307611477,gohuvllune,2022-09-09 16:59:44.263248000
1620669038,qctujvkwtc,2022-09-30 20:17:43.348272000
3758928475,qlryrtpduc,2022-09-05 04:43:43.248489600
1591404747,bozbvbztug,2022-09-07 14:20:33.927359999
421451092,khkzeqovoj,2022-09-02 22:10:23.150006400
328100709,zsjnygxbyt,2022-09-23 02:29:00.922041600
2885477656,npulqmzyht,2022-09-02 12:14:02.332780799
1194309566,tmtmfsduwu,2022-09-15 12:20:22.056288000
878454281,abccrwvnzv,2022-09-29 05:18:50.214614400
3527199971,qlryrtpduc,2022-09-16 00:18:13.030934400
894318869,gzecehskgx,2022-09-12 20:19:34.320345600
3644151235,ylzixxnafi,2022-09-12 09:13:37.332249600
4018242657,jxipgkkcbq,2022-09-22 00:14:29.161536000
198986409,fuahjrkwgl,2022-09-20 04:58:53.013446400
1231057228,zbyduzequw,2022-09-26 16:29:06.128217600
3296485648,qrerwsewxq,2022-09-08 21:20:33.523555200
2895652575,jycwphjabb,2022-09-30 00:22:42.760761600
