user_id,location,age,name
940438667,BOM,30,lsdtbl
3094210744,BHO,29,zptwde
1077000701,HYD,25,nctqhz
4168618970,CCU,29,kpwgml
3396530846,BHO,29,qjtlnk
3172378748,MAA,31,ikvnri
803685540,BBI,26,ecbvrz
2058726842,BBI,27,pxlfdy
2222514479,AMD,29,spenja
1502154859,BHO,34,zufflt
2145086314,CCU,33,ykgbaf
1894136461,HYD,26,jkkvrk
1386847756,DEL,30,dmrptm
2492737002,CCU,27,cvxlcr
3063507752,BOM,30,pfkgii
3112808727,BOM,27,dactuu
2627856191,DEL,28,noslij
1150033019,MAA,35,rbkyzi
1591448811,BHO,29,vfjayg
1208041075,BHO,35,zpzuzx
2776768261,BLR,25,lynnad
3529232332,BBI,31,xbyxam
482717404,DEL,25,ahzkkk
1403853405,MAA,30,fcnxhb
20754454,BBI,31,hpiyqa
425295945,BOM,34,yikorg
2532222202,BLR,28,gaoikp
2303381878,HYD,30,srmzph
3150146222,BHO,34,snlaww
220370374,CCU,32,jyyksq
3462121252,HYD,33,ixydvh
3855752145,BHO,30,bafjhq
2449420237,HYD,34,kscspu
1986501948,AMD,29,ltrquf
1944424881,HYD,33,mwhbpy
1990269241,BHO,32,mripig
2263849584,BOM,29,vgsato
767974075,BHO,30,umunvl
816944736,CCU,26,ogngzt
229062025,DEL,27,qphnuw
505415078,HYD,25,cbpdgt
3612748811,AMD,30,qsuqsp
1136722762,DEL,35,rkexel
1406848767,BOM,28,ewytdz
679842867,CCU,26,fncwdt
3642857931,BLR,34,wfitrc
3658169077,MAA,28,zghook
3896751848,CCU,26,egpgxf
4286039419,BLR,35,rsmoga
28529245,AMD,32,gojxye
2384466702,BBI,30,hjbhkt
3529563421,CCU,34,kaabjr
182950628,DEL,27,urygpo
2191274245,BLR,33,dfodvs
2977666694,MAA,31,sxfayf
1565914041,BOM,28,seystj
2373289175,MAA,30,xuojmh
2053510641,DEL,27,htddip
672792093,CCU,25,cdaedy
810660320,HYD,28,ffwzto
491501827,MAA,26,lezapk
85477035,HYD,35,dnnbgz
1365222110,MAA,30,abjxwh
2109403293,BBI,34,yohube
1185789496,BHO,31,isgyjl
3254508306,CCU,25,onrlem
2762534887,BHO,26,pnavks
1913582508,CCU,29,mvtqzy
1114418651,DEL,26,obttqs
3383436829,DEL,31,pcpsrb
1234551639,DEL,28,mmdeam
529482655,CCU,27,xvqvdo
311608606,DEL,26,mtsbvf
912888346,BBI,28,jfdnjj
4212766727,BHO,25,ppyqhi
569374951,CCU,26,yldfmj
4228253077,BHO,33,mbzkpv
4228629615,HYD,35,pvqskr
3977888627,AMD,25,udelzt
1738693860,BBI,27,ropekl
